Date,Orders,"Gross sales",Returns,Coupons,"Net sales",Taxes,Shipping,"Total sales"
"2024-03-28 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-27 00:00:00",1,27.00,0.00,0.00,27.00,0.00,8.50,35.50
"2024-03-26 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-25 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-24 00:00:00",1,30.00,0.00,0.00,30.00,0.00,8.50,38.50
"2024-03-23 00:00:00",2,224.50,0.00,0.00,224.50,0.00,17.00,241.50
"2024-03-22 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-21 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-18 00:00:00",1,150.00,0.00,0.00,150.00,0.00,8.50,158.50
"2024-03-17 00:00:00",3,102.00,0.00,0.00,102.00,0.00,25.50,127.50
"2024-03-16 00:00:00",1,30.00,0.00,0.00,30.00,0.00,8.50,38.50
"2024-03-15 00:00:00",1,30.00,0.00,0.00,30.00,0.00,8.50,38.50
"2024-03-14 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-13 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-12 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-11 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-10 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-09 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-08 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-07 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-06 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-05 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-03-01 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-29 00:00:00",1,87.00,0.00,0.00,87.00,0.00,6.95,93.95
"2024-02-28 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-27 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-26 00:00:00",1,29.00,0.00,0.00,29.00,0.00,6.95,35.95
"2024-02-25 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-24 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-23 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-22 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-21 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-18 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-17 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-16 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-15 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-14 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-13 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-12 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-11 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-10 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-09 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-08 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-07 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-06 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-05 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-04 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-03 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-02 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-02-01 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-31 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-30 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-29 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-28 00:00:00",1,17.00,0.00,0.00,17.00,0.00,6.95,23.95
"2024-01-27 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-26 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-25 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-24 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-23 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-22 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-21 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-20 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-19 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-18 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-17 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-16 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2024-01-15 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2023-10-31 00:00:00",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00